precision,recall,f_measure,ref_count,pred_count,raw_pitch_accuracy,raw_chroma_accuracy,overall_accuracy,voicing_recall,voicing_false_alarm,file,output_midi,ground_truth
0.12962962962962962,0.2692307692307692,0.17500000000000002,26,54,0.9834437086092715,0.9834437086092715,0.9683734939759037,0.9933774834437086,0.18333333333333332,GTSinger_sample_50/EN-Alto-1/Vibrato/memory/Control_Group/0004.wav,batch_results_gtsinger50_combined/EN-Alto-1_Vibrato_memory_Control_Group_0004_pyin.mid,GTSinger_sample_50/EN-Alto-1/Vibrato/memory/Control_Group/0004.json
0.07407407407407407,0.2222222222222222,0.1111111111111111,9,27,0.8757396449704142,0.8757396449704142,0.8764367816091954,0.9674556213017751,0.1,GTSinger_sample_50/EN-Alto-1/Vibrato/memory/Control_Group/0005.wav,batch_results_gtsinger50_combined/EN-Alto-1_Vibrato_memory_Control_Group_0005_pyin.mid,GTSinger_sample_50/EN-Alto-1/Vibrato/memory/Control_Group/0005.json
0.2727272727272727,0.5,0.3529411764705882,18,33,0.9873150105708245,0.9873150105708245,0.9817073170731707,0.9873150105708245,0.15789473684210525,GTSinger_sample_50/EN-Alto-1/Vibrato/memory/Control_Group/0011.wav,batch_results_gtsinger50_combined/EN-Alto-1_Vibrato_memory_Control_Group_0011_pyin.mid,GTSinger_sample_50/EN-Alto-1/Vibrato/memory/Control_Group/0011.json
0.2222222222222222,0.4444444444444444,0.2962962962962963,9,18,0.9915611814345991,0.9915611814345991,0.9318181818181818,0.9957805907172996,0.5925925925925926,GTSinger_sample_50/EN-Alto-1/Vibrato/memory/Control_Group/0007.wav,batch_results_gtsinger50_combined/EN-Alto-1_Vibrato_memory_Control_Group_0007_pyin.mid,GTSinger_sample_50/EN-Alto-1/Vibrato/memory/Control_Group/0007.json
0.07692307692307693,0.18181818181818182,0.10810810810810811,11,26,0.9314079422382672,0.9314079422382672,0.9131832797427653,0.9458483754512635,0.23529411764705882,GTSinger_sample_50/EN-Alto-1/Vibrato/memory/Control_Group/0013.wav,batch_results_gtsinger50_combined/EN-Alto-1_Vibrato_memory_Control_Group_0013_pyin.mid,GTSinger_sample_50/EN-Alto-1/Vibrato/memory/Control_Group/0013.json
0.25806451612903225,0.4444444444444444,0.32653061224489793,18,31,0.9439775910364145,0.9439775910364145,0.9362244897959183,0.9635854341736695,0.14285714285714285,GTSinger_sample_50/EN-Alto-1/Vibrato/memory/Control_Group/0012.wav,batch_results_gtsinger50_combined/EN-Alto-1_Vibrato_memory_Control_Group_0012_pyin.mid,GTSinger_sample_50/EN-Alto-1/Vibrato/memory/Control_Group/0012.json
0.2222222222222222,0.4,0.2857142857142857,10,18,0.842443729903537,0.842443729903537,0.8498498498498499,0.9389067524115756,0.045454545454545456,GTSinger_sample_50/EN-Alto-1/Vibrato/memory/Control_Group/0006.wav,batch_results_gtsinger50_combined/EN-Alto-1_Vibrato_memory_Control_Group_0006_pyin.mid,GTSinger_sample_50/EN-Alto-1/Vibrato/memory/Control_Group/0006.json
0.2,0.5263157894736842,0.28985507246376807,19,50,0.949438202247191,0.949438202247191,0.8896551724137931,0.9606741573033708,0.379746835443038,GTSinger_sample_50/EN-Alto-1/Vibrato/memory/Control_Group/0002.wav,batch_results_gtsinger50_combined/EN-Alto-1_Vibrato_memory_Control_Group_0002_pyin.mid,GTSinger_sample_50/EN-Alto-1/Vibrato/memory/Control_Group/0002.json
0.3333333333333333,0.5,0.4,20,30,0.9673590504451038,0.9673590504451038,0.9393139841688655,0.9821958456973294,0.2857142857142857,GTSinger_sample_50/EN-Alto-1/Vibrato/memory/Control_Group/0003.wav,batch_results_gtsinger50_combined/EN-Alto-1_Vibrato_memory_Control_Group_0003_pyin.mid,GTSinger_sample_50/EN-Alto-1/Vibrato/memory/Control_Group/0003.json
0.15384615384615385,0.3333333333333333,0.21052631578947367,12,26,0.9551020408163265,0.9551020408163265,0.9295774647887324,0.9714285714285714,0.23076923076923078,GTSinger_sample_50/EN-Alto-1/Vibrato/memory/Control_Group/0001.wav,batch_results_gtsinger50_combined/EN-Alto-1_Vibrato_memory_Control_Group_0001_pyin.mid,GTSinger_sample_50/EN-Alto-1/Vibrato/memory/Control_Group/0001.json
0.16666666666666666,0.3333333333333333,0.2222222222222222,18,36,0.9309309309309309,0.9309309309309309,0.9139784946236559,0.948948948948949,0.23076923076923078,GTSinger_sample_50/EN-Alto-1/Vibrato/memory/Control_Group/0000.wav,batch_results_gtsinger50_combined/EN-Alto-1_Vibrato_memory_Control_Group_0000_pyin.mid,GTSinger_sample_50/EN-Alto-1/Vibrato/memory/Control_Group/0000.json
0.10810810810810811,0.19047619047619047,0.13793103448275862,21,37,0.9454225352112676,0.9454225352112676,0.9404186795491143,0.9559859154929577,0.11320754716981132,GTSinger_sample_50/EN-Alto-1/Vibrato/memory/Control_Group/0014.wav,batch_results_gtsinger50_combined/EN-Alto-1_Vibrato_memory_Control_Group_0014_pyin.mid,GTSinger_sample_50/EN-Alto-1/Vibrato/memory/Control_Group/0014.json
0.25,0.4375,0.3181818181818182,16,28,0.9583333333333334,0.9583333333333334,0.9108108108108108,0.9775641025641025,0.3448275862068966,GTSinger_sample_50/EN-Alto-1/Vibrato/memory/Control_Group/0008.wav,batch_results_gtsinger50_combined/EN-Alto-1_Vibrato_memory_Control_Group_0008_pyin.mid,GTSinger_sample_50/EN-Alto-1/Vibrato/memory/Control_Group/0008.json
0.10526315789473684,0.23076923076923078,0.14457831325301204,26,57,0.9809027777777778,0.9809027777777778,0.9461538461538461,0.9913194444444444,0.32432432432432434,GTSinger_sample_50/EN-Alto-1/Vibrato/memory/Control_Group/0009.wav,batch_results_gtsinger50_combined/EN-Alto-1_Vibrato_memory_Control_Group_0009_pyin.mid,GTSinger_sample_50/EN-Alto-1/Vibrato/memory/Control_Group/0009.json
0.06382978723404255,0.16666666666666666,0.09230769230769229,18,47,0.9698375870069605,0.9698375870069605,0.9497907949790795,0.974477958236659,0.23404255319148937,GTSinger_sample_50/EN-Alto-1/Vibrato/memory/Vibrato_Group/0010.wav,batch_results_gtsinger50_combined/EN-Alto-1_Vibrato_memory_Vibrato_Group_0010_pyin.mid,GTSinger_sample_50/EN-Alto-1/Vibrato/memory/Vibrato_Group/0010.json
0.11956521739130435,0.3793103448275862,0.18181818181818182,29,92,0.9647435897435898,0.9647435897435898,0.946376811594203,0.9903846153846154,0.22727272727272727,GTSinger_sample_50/EN-Alto-1/Vibrato/memory/Vibrato_Group/0004.wav,batch_results_gtsinger50_combined/EN-Alto-1_Vibrato_memory_Vibrato_Group_0004_pyin.mid,GTSinger_sample_50/EN-Alto-1/Vibrato/memory/Vibrato_Group/0004.json
0.05555555555555555,0.15384615384615385,0.0816326530612245,13,36,0.8875379939209727,0.8875379939209727,0.8797653958944281,0.9696048632218845,0.3333333333333333,GTSinger_sample_50/EN-Alto-1/Vibrato/memory/Vibrato_Group/0005.wav,batch_results_gtsinger50_combined/EN-Alto-1_Vibrato_memory_Vibrato_Group_0005_pyin.mid,GTSinger_sample_50/EN-Alto-1/Vibrato/memory/Vibrato_Group/0005.json
0.16279069767441862,0.3684210526315789,0.22580645161290322,19,43,0.989247311827957,0.989247311827957,0.971830985915493,0.9935483870967742,0.28125,GTSinger_sample_50/EN-Alto-1/Vibrato/memory/Vibrato_Group/0011.wav,batch_results_gtsinger50_combined/EN-Alto-1_Vibrato_memory_Vibrato_Group_0011_pyin.mid,GTSinger_sample_50/EN-Alto-1/Vibrato/memory/Vibrato_Group/0011.json
0.14285714285714285,0.3333333333333333,0.2,9,21,0.966804979253112,0.966804979253112,0.9128787878787878,0.9875518672199171,0.6521739130434783,GTSinger_sample_50/EN-Alto-1/Vibrato/memory/Vibrato_Group/0007.wav,batch_results_gtsinger50_combined/EN-Alto-1_Vibrato_memory_Vibrato_Group_0007_pyin.mid,GTSinger_sample_50/EN-Alto-1/Vibrato/memory/Vibrato_Group/0007.json
0.075,0.23076923076923078,0.11320754716981132,13,40,0.9700374531835206,0.9700374531835206,0.89,0.9850187265917603,0.7575757575757576,GTSinger_sample_50/EN-Alto-1/Vibrato/memory/Vibrato_Group/0013.wav,batch_results_gtsinger50_combined/EN-Alto-1_Vibrato_memory_Vibrato_Group_0013_pyin.mid,GTSinger_sample_50/EN-Alto-1/Vibrato/memory/Vibrato_Group/0013.json
0.23076923076923078,0.45,0.3050847457627119,20,39,0.9319526627218935,0.9319526627218935,0.8695652173913043,0.9615384615384616,0.5283018867924528,GTSinger_sample_50/EN-Alto-1/Vibrato/memory/Vibrato_Group/0012.wav,batch_results_gtsinger50_combined/EN-Alto-1_Vibrato_memory_Vibrato_Group_0012_pyin.mid,GTSinger_sample_50/EN-Alto-1/Vibrato/memory/Vibrato_Group/0012.json
0.09302325581395349,0.3333333333333333,0.14545454545454545,12,43,0.9169435215946844,0.9169435215946844,0.9093655589123867,0.9700996677740864,0.16666666666666666,GTSinger_sample_50/EN-Alto-1/Vibrato/memory/Vibrato_Group/0006.wav,batch_results_gtsinger50_combined/EN-Alto-1_Vibrato_memory_Vibrato_Group_0006_pyin.mid,GTSinger_sample_50/EN-Alto-1/Vibrato/memory/Vibrato_Group/0006.json
0.12962962962962962,0.4375,0.19999999999999998,16,54,0.9765625,0.9765625,0.9440715883668904,0.9869791666666666,0.25396825396825395,GTSinger_sample_50/EN-Alto-1/Vibrato/memory/Vibrato_Group/0002.wav,batch_results_gtsinger50_combined/EN-Alto-1_Vibrato_memory_Vibrato_Group_0002_pyin.mid,GTSinger_sample_50/EN-Alto-1/Vibrato/memory/Vibrato_Group/0002.json
0.20588235294117646,0.3333333333333333,0.2545454545454545,21,34,0.9552238805970149,0.9552238805970149,0.9487870619946092,0.982089552238806,0.1111111111111111,GTSinger_sample_50/EN-Alto-1/Vibrato/memory/Vibrato_Group/0003.wav,batch_results_gtsinger50_combined/EN-Alto-1_Vibrato_memory_Vibrato_Group_0003_pyin.mid,GTSinger_sample_50/EN-Alto-1/Vibrato/memory/Vibrato_Group/0003.json
0.07894736842105263,0.3,0.125,10,38,0.84375,0.84375,0.7472118959107806,0.96875,0.7333333333333333,GTSinger_sample_50/EN-Alto-1/Vibrato/memory/Vibrato_Group/0001.wav,batch_results_gtsinger50_combined/EN-Alto-1_Vibrato_memory_Vibrato_Group_0001_pyin.mid,GTSinger_sample_50/EN-Alto-1/Vibrato/memory/Vibrato_Group/0001.json
0.21052631578947367,0.4444444444444444,0.2857142857142857,18,38,0.9573170731707317,0.9573170731707317,0.9261213720316622,0.9725609756097561,0.27450980392156865,GTSinger_sample_50/EN-Alto-1/Vibrato/memory/Vibrato_Group/0000.wav,batch_results_gtsinger50_combined/EN-Alto-1_Vibrato_memory_Vibrato_Group_0000_pyin.mid,GTSinger_sample_50/EN-Alto-1/Vibrato/memory/Vibrato_Group/0000.json
0.09090909090909091,0.3333333333333333,0.14285714285714288,18,66,0.9577464788732394,0.9577464788732394,0.9281150159744409,0.977112676056338,0.3620689655172414,GTSinger_sample_50/EN-Alto-1/Vibrato/memory/Vibrato_Group/0014.wav,batch_results_gtsinger50_combined/EN-Alto-1_Vibrato_memory_Vibrato_Group_0014_pyin.mid,GTSinger_sample_50/EN-Alto-1/Vibrato/memory/Vibrato_Group/0014.json
0.1935483870967742,0.3333333333333333,0.24489795918367346,18,31,0.9276315789473685,0.9276315789473685,0.9260355029585798,0.9375,0.08823529411764706,GTSinger_sample_50/EN-Alto-1/Vibrato/memory/Vibrato_Group/0008.wav,batch_results_gtsinger50_combined/EN-Alto-1_Vibrato_memory_Vibrato_Group_0008_pyin.mid,GTSinger_sample_50/EN-Alto-1/Vibrato/memory/Vibrato_Group/0008.json
0.125,0.36363636363636365,0.18604651162790697,33,96,0.9794303797468354,0.9794303797468354,0.9440459110473458,0.9920886075949367,0.4,GTSinger_sample_50/EN-Alto-1/Vibrato/memory/Vibrato_Group/0009.wav,batch_results_gtsinger50_combined/EN-Alto-1_Vibrato_memory_Vibrato_Group_0009_pyin.mid,GTSinger_sample_50/EN-Alto-1/Vibrato/memory/Vibrato_Group/0009.json
